740,716.5,757.5,728.5,726,849.5
743,731.5,782.5,733,734.5,859
754,721.5,778,729,749,853
751,726.5,776.5,732.5,750.5,850
754.5,726.5,775.5,733,761,852.5
766.5,738.5,782.5,745.5,766.5,856
768,748.5,778,748,764.5,860
771,748.5,788,751,766,860.5
763,748,784.5,750.5,773.5,851.5
766,749.5,785.5,758,784.5,861.5
765,750.5,785,752.5,774,855
768,748.5,792,765,776.5,859
772,755,790,770.5,788,864
769,757.5,784,766,784.5,858.5
777.5,762.5,797,773,793,863.5
782,760,801.5,771,790.5,863
768,761.5,807.5,762,795,858
772.5,766.5,807.5,771.5,815,861
770,763,805.5,765,805,856.5
762.5,750.5,802,758.5,801.5,853
748,748.5,796,750.5,797,853.5
748.5,755,800.5,750,791.5,849.5
758.5,751,796.5,751.5,792,845.5
750,747.5,802,746.5,784,844
740,742.5,799.5,743,772,843.5
731.5,739.5,798,734.5,766,843
733,740.5,796.5,743.5,760.5,846.5
737.5,740,797,742,760.5,849
727,731,791.5,732.5,752.5,839
724.5,726,788.5,726,754.5,840
720.5,728.5,788.5,721,752.5,831.5
720.5,724,793,723,748,827
718.5,727.5,792,730,750.5,829
716,726,784,723,741,829.5
710.5,718.5,773.5,717,719.5,826
708,722.5,770,716.5,725.5,828.5
716,728.5,781.5,726,733.5,834.5
710,722,777.5,718,718.5,832.5
688.5,706,765.5,690,701,803
678,691.5,745,680,698.5,799
679,698,753,682.5,692.5,795
681,704.5,750,690,698.5,798
688.5,704,747.5,691,701.5,802.5
686.5,709,751,705.5,708.5,804.5
697.5,719,754.5,714,716.5,813.5
693.5,721.5,756.5,709,712.5,807.5
686.5,715.5,754.5,705,712.5,806
685,710.5,760,703,714,799.5
681,701.5,755,692,709,790
665,692.5,736,680,699,783
654.5,686.5,733.5,678,691,784.5
654.5,684.5,732.5,673.5,682.5,781.5
653,688.5,733,677.5,686.5,791
662.5,698.5,743.5,690,703,800.5
678.5,700.5,745,695,704,808.5
675,693.5,738,676.5,691,795.5
665.5,683,732.5,666,688.5,796
669,685,737,675.5,694.5,796.5
657,685.5,739.5,670.5,691.5,784.5
659,678,738.5,665,692,785
646.5,667.5,706.5,646,669,787
640,658,705,645.5,665.5,780.5
636.5,664,705,643.5,665,778.5
620,651.5,700.5,629.5,658,780
616.5,643.5,696,629,652.5,775
609.5,631,694,616.5,643.5,773
612.5,627.5,699.5,622,638.5,776
616,631.5,704.5,625,634.5,774.5
613,630,701,624,631.5,774
611,628,700.5,621.5,642,774.5
613.5,632.5,700.5,623,648.5,776.5
624.5,638,698,630,651.5,779
630,637,703,632,654.5,782.5
632.5,645.5,700,633.5,650,781.5
636.5,644,707,637,653,789
637.5,648,694.5,644,650.5,785.5
628.5,643,676,633,638.5,768.5
619.5,638.5,678,633,636.5,763.5
625.5,645,671,642.5,644,759
625,649.5,668,632.5,649,747.5
635.5,656,673,656,661.5,771
647.5,660.5,675,666,660.5,773
665.5,671,687,676,685.5,783
678.5,677,706,690,687.5,782.5
691.5,696,707.5,695,687.5,787
683,686.5,705.5,691.5,677.5,779
684.5,682,708.5,688,684.5,772.5
685,690,727,696,704,775.5
683.5,686.5,729,689,701.5,769
659,673,708.5,663.5,676,762.5
647.5,657.5,702,653.5,666.5,758.5
650.5,658,695.5,651.5,658.5,760.5
648,657,685.5,658,653,760
647,652.5,681,656.5,655,755.5
665,655,686.5,655.5,662.5,757.5
661.5,661.5,683.5,662.5,664,763.5
665.5,670,692.5,659,663,769.5
671.5,669.5,679.5,656,668,763
657,650,682,653,656,749
651,646.5,671,645.5,647.5,749.5
